# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Xaogioso. It is a story about a small baby (Tixohóí) who during the night falls off the bed and near the fire.
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "01_KATO'S BABY FALLS NEAR THE FIRE.pdf".

<line_1.1>	ti xahoa-gI ti iga O-p-I-xi hi igA xai baIgipOhoasi KatO hi o *-b-a-p-I-aag-oxoihI KatO
<line_1.96>	hi gA xai-aI * k o-s a-i-hiab-aO * xaitA-b-iI-hai-xai
<glossing>	3_PRP speak_VB do_VB-DECLARATIVE * it_PRP eye_NN-NEG be_VB-proximate-NEG-COMPLETIVE * sleep_VB-down-intention-REL_CERT-DECLARATIVE
<translation>	He XopIsi spoke.  I was not ignorant of it.  I intended to sleep.

<line_1.97>	hi aigIa *-b-a-p-i aagA
<glossing>	3_PRP thus_RB *-down-vertical-up-proximate be_VB
<translation>	He thus is sleepy.

<line_1.98>	hoagaixoxai hi aigIa gA xai kagihi ot *-Ab aag-aO kagihi Oti * aigIa * ihIhI-a-p-i-ta-p-aI
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB speak_VB do_VB companion_NN angry_JJ *-DUR be_VB-COMPLETIVE companion_NN angry_JJ * thus_RB * put_VB-vertical-up-proximate-iterative-up-DECLARATIVE
<translation>	Hoagaixoxai he thus spoke.  My wife was finished being angry.  My wife's angry thus I put the child up again.

<line_1.99>	tIi xaigIa gA-sai * xihi-ab-Io * hi * ogI-O xio *-sai
<glossing>	1_PRP thus_RB speak_VB-old_info * put_VB-DUR-DIRECTIONAL * 3_PRP * big_JJ-direction com_IN *-old_info
<translation>	I thus spoke.  I will put it with its mother that we are talking about.

<line_1.100>	* hi a-p-i-ta-p-aI
<glossing>	* 3_PRP vertical_VB-up-proximate-repetitive-up-do
<translation>	I will put him up there on the platform again.

<line_1.101>	hi sA-ab-AO-xai
<glossing>	3_PRP cry_VB-NEG-there-do
<translation>	He does not cry up there.
