# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "The first boomerang" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 287-314.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_62 and 63, line_71 and 72, line_141 and 142, line_166 and 167, line_271 and 272, line_278 and 279, line_302 and 303, line_318 and 319, line_323 and 324, line_340 and 341).

<line_1>	Ngayu marraringaraa wantharninyji , maral.yalaa jinangkaa
<glossing>	almost-NOW arm cut-PASS-CTEMP others chase-PAST that.ACC
<translation>	travelling . Some others almost get their arms cut off . They chased it

<line_96>	Ngunhaa puninyila nyingkurlu waruu , ngulangu pungkalu .<segmentation>	Ngunhaa puni-nyila nyingkurlu waruu , ngulangu pungka-lu .
<glossing>	that.NOM go-PrREL in.front still there fall-PURPss
<translation>	and that boomerang is still in front and falls right

<line_97>	Kartingka mankungulayiwarnu .<segmentation>	Karti-ngka manku-ngu-layi-warnu .
<glossing>	side-LOC grab-PASS-FUT-EMPH
<translation>	there , and is picked up once more .

<line_98>	“ Panyu paju yirru ngayalyu yirru nhula yirru wirra yirru . ”
<segmentation>	“ Panyu paju yirru ngayalyu yirru nhula yirru wirra yirru . ”
<glossing>	good REAL HES cousin HES near.you HES boomerang HES
<translation>	“ That boomerang is good , cousin . ”

<line_99>	Mir.tal ngunhungara , yangarnura kuwarrilal . Ngunhu wantilha
<segmentation>	Mir.ta-l ngunhu-ngara , yanga-rnura kuwarri-la-l . Ngunhu wanti-lha
<glossing>	not-THEN that.NOM-PL chase-PrREL now-LOC-THEN that.NOM lie-PAST
<translation>	It wasn't yesterday that they chased that thing , no it was long ago .

<line_100>	yawurrari , karranu ngula , ngurra . Nhiingara yangal.yarrangara ,<segmentation>	yawurrari , karra-nu ngula , ngurra . Nhiingara yanga-l.yarra-ngara ,
<glossing>	west.ALL scrub-QUOT IGNOR country this.PL chase-CTEMP-PL
<translation>	The scrub that lay there out to the west , well these people chasing

<line_101>	jinawari panyilalha ngurnaa kalyaranwirriwaanhawanii<segmentation>	jina-wari panyi-lalha ngurnaa kalyaran-wirriwa-anhawani-i
<glossing>	foot-PROP tread-PAST that.ACC tree-PRIV-ACC thing-ACC
<translation>	trampled it with their feet and so there are no trees there now ,

<line_102>	pal.yarramal.yarra . Ngunhulwa ngunhu pal.yarramarnu<segmentation>	pal.yarra-ma-l.yarra . Ngunhu-lwa ngunhu pal.yarra-ma-rnu
<glossing>	plain-CAUS-CTEMP that.NOM-YK that.NOM plain-CAUS-PASSP
<translation>	they made a plain of it . That's that plain

<line_103>	jinangku wantinguru Wirrawantirru wangkangulayi . Yilangulwa ngunhaa ,
<segmentation>	jina-ngku wanti-nguru Wirrawanti-rru wangka-ngu-layi . Yilangu-lwa ngunhaa ,
<glossing>	foot-EFF lie-PRES Wirrawanti-NOW call-PASS-FUT here-YK that.NOM
<translation>	that was trampled , the one that's called Wirrawanti now . This is it

<line_104>	yilangulwa ngunhaa marrarila , nhiyu kuwarri , kuwarril paju<segmentation>	yilangu-lwa ngunhaa marrari-la , nhiyu kuwarri , kuwarri-l paju
<glossing>	here-YK that.NOM story-LOC this.NOM now beginning-THEN REAL
<translation>	here now in this story , the one that was made like this as a result of

<line_105>	ngunhu wirra , wantharnimarnula . Ngartil thawulalha .<segmentation>	ngunhu wirra , wantharni-ma-rnu-la . Ngartil thawu-lalha .
<glossing>	that.NOM boomerang how-CAUS-PASSP-LOC again send-PAST
<translation>	that boomerang . Again he sent it ,

<line_106>	Ngartil waruulpurtu ngunhungarayangalwala . Yimpalanu<segmentation>	Ngartil waruul-purtu ngunhu-ngarayanga-lwala . Yimpala-nu
<glossing>	again still-COMP that.NOM-PL chase-PURPds like.that-QUOT
<translation>	and yet again they chased it ,

<line_107>	wantinguru kankurru yirla . Wirra ngunhu puninyila .<segmentation>	wanti-nguru kankurru yirla . Wirra ngunhu puni-nyila .
<glossing>	lie-PRES dust only boomerang that.NOM go-PrREL
<translation>	only the dust left behind them , that boomerang is still going .

<line_108>	Waruulwanngurra pularnalu , thaninngurra . Pawulungarathurti<segmentation>	Waruulwa-nngu-rra pularna-lu , thani-nngu-rra . Pawulu-ngara-thurti
<glossing>	can't.do-PASS-CTEMP they-EFF hit-PASS-CTEMP child-PL-CONJ
<translation>	They kept trying at it but couldn't do it . Children and all

<line_109>	yangarnura thanil.yarramaningkanparra , mankumarni wurla .<segmentation>	yanga-rnura thani-l.yarramani-ngka-npa-rra , manku-marni wurla .
<glossing>	chase-PrREL hit-CTEMP front-LOC-INCH-CTEMP grab-CONTR MIST
<translation>	chased it and hit at it , thinking they should be able to get it ,

<line_110>	Thamparru nhanka thaninngurra , yartapalyu puninyila ngunhu<segmentation>	Thampa-rru nhanka thani-nngu-rra , yartapalyu puni-nyila ngunhu
<glossing>	almost-NOW neck hit-PASS-CTEMP others go-PrREL that.NOM
<translation>	and almost getting hit in the neck . But it's still going ,

<line_111>	thawurra , wirra . Puninyila ngunhaa , parranilayi ngulangu<segmentation>	thawurra , wirra . Puni-nyila ngunhaa , parrani-layi ngulangu
<glossing>	boomerang boomerang go-PrREL that.NOM return-FUT there
<translation>	that boomerang , and it came back

<line_112>	pungkalu . Ngunhungara wirunpalha paju ngurnu<segmentation>	pungka-lu . Ngunhu-ngara wiru-npa-lha paju ngurnu
<glossing>	fall-PURPss that.NOM-PL want-INCH-PAST REAL that.ACC
<translation>	to fall down in the same place . They badly wanted

<line_113>	thawurraa mankulayi . Wirraa mankulayi .<segmentation>	thawurra-a manku-layi . Wirra-a manku-layi .
<glossing>	boomerang-ACC grab-FUT boomerang-ACC grab-FUT
<translation>	to get hold of this boomerang . They wanted

<line_114>	Ngunhungara paju kanyjarninyji . Nhiyu kanyara mir.ta wiru<segmentation>	Ngunhu-ngara paju kanyja-rninyji . Nhiyu kanyara mir.ta wiru
<glossing>	that.NOM-PL REAL keep-FUT this.NOM man not wanting
<translation>	to keep it for themselves . This man didn't want

<line_115>	yimpalamannguliwaalwa . Ngunhu puninyila panyu waruulpurtu<segmentation>	yimpala-ma-nnguli-waa-lwa . Ngunhu puni-nyila panyu waruul-purtu
<glossing>	like.that-CAUS-PASS-PURPs=o-YK that.NOM go-PrREL good still-COMP
<translation>	things to turn out like that , and that boomerang was still going at full strength .

<line_116>	wirra . Mir.ta waruul kuntarramanngurra wii<segmentation>	wirra . Mir.ta waruul kuntarra-ma-nngu-rra wii
<glossing>	boomerang not still slow.up-CAUS-PASS-CTEMP maybe
<translation>	It still wasn't getting slowed down by those fellows

<line_117>	ngurnungaralu thanirnuralu thanirnuralu wurrulywamarta .<segmentation>	ngurnu-ngara-lu thani-rnura-lu thani-rnura-lu wurrulywa-marta .
<glossing>	that.OBL-PL-EFF hit-PrREL-EFF hit-PrREL-EFF leaves-PROP
<translation>	hitting it with gum leaves . I don't know what sort of leaves ,

<line_118>	Nhartu wiyaa ngula wurrulywangara , wurntarnu juwayula .<segmentation>	Nhartu wiyaa ngula wurrulywa-ngara , wurnta-rnu juwayu-la .
<glossing>	what maybe IGNOR leaves-PL cut-PASSP hand-LOC
<translation>	they had cut brush and held it in their hands .

<line_119>	“ Thanirnurunhuwana wirraa . ”
<segmentation>	“ Thani-rnurunhuwana wirra-a . ”
<glossing>	hit-PRES 2PL boomerang-ACC
<translation>	“ You people hit that boomerang ! ”

<line_120>	Wiru nhartumarninyji wularlamarninyji . Piyuwa waruu , ngunhu
<segmentation>	Wiru nhartu-ma-rninyji wularla-ma-rninyji . Piyuwa waruu , ngunhu
<glossing>	want what-CAUS-FUT weak-CAUS-FUT finish still that.NOM
<translation>	They wanted to weaken that boomerang . But no chance , that

<line_121>	thawurra puninyila ngunhilarru ngunhaa waruulwa ngunhaa<segmentation>	thawurra puni-nyila ngunhila-rru ngunhaa waruul-wa ngunhaa
<glossing>	boomerang go-PrREL same.speed-NOW that.NOM still-YK that.NOM
<translation>	boomerang kept going at the same speed . It kept going

<line_122>	wirra puninyila , thaapuwa . Pungkalu ngulangu waruu .<segmentation>	wirra puni-nyila , thaapuwa . Pungka-lu ngulangu waruu .
<glossing>	boomerang go-PrREL big.man fall-PURPss there still
<translation>	and fell down at the right place as usual . It fell down right there by its owner ,

<line_123>	Ngurnulangula waruulurru nhartungka , warramalalhala ,<segmentation>	Ngurnula-ngu-la waruul-u-rru nhartu-ngka , warrama-lalha-la ,
<glossing>	that.DEF-GEN-LOC still-Ø-NOW what-LOC make-PAST-LOC
<translation>	the man who had made it ,

<line_124>	yinkalalha-la . Waruulwalalha ngunhungara .<segmentation>	yinka-lalha-la . Waruulwa-lalha ngunhu-ngara .
<glossing>	chisel-PAST-LOC can't.do-PAST that.NOM-PL
<translation>	had carved it out . They couldn't manage to get it .

<line_125>	“ Ngaa , piyuwa pajunu . Ngaliwanu mir.ta<segmentation>	“ Ngaa , piyuwa paju-nu . Ngaliwa-nu mir.ta
<glossing>	yes finish REAL-QUOT 1PL.INC-QUOT not
<translation>	“ Well that's it , we're no good at all . We're not going to get on right with that boomerang .

<line_126>	panyumanngulayi ngurnaa . ”<segmentation>	panyu-ma-nngu-layi ngurnaa . ”
<glossing>	good-CAUS-PASS-FUT that.ACC
<translation>	Might as well give up hope . ”

<line_127>	Punimarrilayi wuraalwarru .
<segmentation>	Puni-marri-layi wuraal-wa-rru .
<glossing>	go-COLL-FUT well-Ø-NOW
<translation>	So they went off .

<line_128>	Ngunhaa mir.tarru mankulha ngurnutharraa thawurratharraa .<segmentation>	Ngunhaa mir.ta-rru manku-lha ngurnu-tharra-a thawurra-tharra-a .
<glossing>	that.NOM not-NOW grab-PAST that.OBL-DU-ACC boomerang-DU-ACC
<translation>	They didn't get those two boomerangs .

<line_129>	“ Ah , panyu paju yirru thawurra yirru nhula yirru ngayalyu yirru .<segmentation>	“ Ah , panyu paju yirru thawurra yirru nhula yirru ngayalyu yirru .
<glossing>	ah good REAL HES boomerang HES near.you HES cousin HES
<translation>	“ Ah . Good that boomerang you've got , cousin .

<line_130>	Nganarna waruulwalalhalwa yirru . ”
<segmentation>	Nganarna waruulwa-lalha-lwa yirru . ”
<glossing>	1PL.EXC can't.do-PAST-YK HES
<translation>	We just couldn't manage it . ”

<line_131>	Wuraalwarru punimarrilayi .<segmentation>	Wuraal-wa-rru puni-marri-layi .
<glossing>	well-YK-NOW go-COLL-FUT
<translation>	All right , they went off together .

<line_132>	Ngunhu nhawaniwuyu , ngunhaa mirntiwulyu paju ,<segmentation>	Ngunhu nhawani-wuyu , ngunhaa mirntiwul-yu paju ,
<glossing>	that.NOM thing-SIDE that.NOM together-ACC REAL
<translation>	That what's-his-name , that one on his own .

<line_133>	nhartunu wangkangurra ? Ngunhulwa .<segmentation>	nhartu-nu wangka-ngu-rra ? Ngunhu-lwa .
<glossing>	what-QUOT call-PASS-CTEMP that.NOM-YK
<translation>	What's he called now ? That one .

<line_134>	Ngayalyu ngunhu mirtali paju . Wantharninu wangkangulayi ? <segmentation>	Ngayalyu ngunhu mirtali paju . Wantharni-nu wangka-ngu-layi ? 
<glossing>	devil that.NOM big REAL how-QUOT call-PASS-FUT
<translation>	That big ngayalyu boss . How is he called ?

<line_135>	Ngunhulwa ngunhaa mirntiwulu marrarikuliyanngulayi .<segmentation>	Ngunhu-lwa ngunhaa mirntiwul-u marrarikuliya-nngu-layi .
<glossing>	that.NOM-YK that.NOM together-EFF word listen-PASS-FUT
<translation>	That one who all the other ones have to listen to .

<line_136>	Puliyanyja ngunhu ngayalyu . Ngunhulwa ngunhaa kuyil .<segmentation>	Puliyanyja ngunhu ngayalyu . Ngunhu-lwa ngunhaa kuyil .
<glossing>	old.man that.NOM devil that.NOM-YK that.NOM bad
<translation>	That old man ngayalyu . He's bad that one .

<line_137>	Ngunhulwa ngunhaa parilhanpalha ngurnu wirraa . Punilha<segmentation>	Ngunhu-lwa ngunhaa parilha-npa-lha ngurnu wirra-a . Puni-lha
<glossing>	that.NOM-YK that.NOM try-INCH-PAST that.ACC boomerang-ACC go-PAST
<translation>	That's the one that kept on at that boomerang . He went ,

<line_138>	ngunhaa nyinalu ngularla kuliyanparra , punirrawaara ngurnu .<segmentation>	ngunhaa nyina-lu ngularla kuliyanpa-rra , puni-rrawaara ngurnu .
<glossing>	that.NOM sit-PURPss there.NS think-CTEMP go-SEQ that.ACC
<translation>	thought for a while about somewhere there , and then went there .

<line_139>	Punirrawaara ngurnu . Wanthala ngunhu kuwarril paju<segmentation>	Puni-rrawaara ngurnu . Wanthala ngunhu kuwarri-l paju
<glossing>	go-SEQ that.ACC somewhere that.NOM beginning-THEN REAL
<translation>	He thought about that place , somewhere ,

<line_140>	kanyara nyinanyila nyinalhala , yinkal.yarra ngurnu kayarraa<segmentation>	kanyara nyina-nyila nyina-lha-la , yinka-l.yarra ngurnu kayarra-a
<glossing>	man sit-PrREL sit-PAST-LOC chisel-CTEMP that.ACC two-ACC
<translation>	where that man first sat and chipped out those two

<line_141>	wirratharraa panyutharraa . Ngunhaa punilha yilhiirru mankulu ngularla .<segmentation>	wirra-tharra-a panyu-tharra-a . Ngunhaa puni-lha yilhi-i-rru manku-lu ngularla .
<glossing>	boomerang-DU-ACC good-DU-ACC that.NOM go-PAST chip-ACC-NOW grab-PURPss there.NS
<translation>	good boomerangs . He went to pick up some wood chips there somewhere .

<line_143>	Thaapuwanu ngunhaa mirtuwarra , ngunhulwa ,<segmentation>	Thaapuwa-nu ngunhaa mirtuwarra , ngunhu-lwa ,
<glossing>	big.man-QUOT that.NOM clever that.NOM-YK
<translation>	He was a crafty old bastard , that

<line_144>	ngayalyu , ngunhulwa ngunhaa nhawani paju , jurluu mirntiwulyu<segmentation>	ngayalyu , ngunhu-lwa ngunhaa nhawani paju , jurlu-u mirntiwul-yu
<glossing>	devil that.NOM-YK that.NOM thing REAL all-ACC together-ACC
<translation>	ngayalyu . He's that what's-his-name . The one who

<line_145>	nhawani wangkalayi nhartumalwaa . Mirntiwul paju kuliyarninyji<segmentation>	nhawani wangka-layi nhartu-ma-lwaa . Mirntiwul paju kuliya-rninyji
<glossing>	thing say-FUT what-CAUS-PURPs=o together REAL hear-FUT
<translation>	tells all of the others what to do . They all listen

<line_146>	ngurnulwa marrarii ngayalyungara yirla pularna .<segmentation>	ngurnu-lwa marrari-i ngayalyu-ngara yirla pularna .
<glossing>	that.ACC-YK word-ACC devil-PL only they
<translation>	to his word , only those ngayalyu of course .

<line_147>	Ngunhaa mirtali paju wangkalayi nhartumalwaa wii ,<segmentation>	Ngunhaa mirtali paju wangka-layi nhartu-ma-lwaa wii ,
<glossing>	that.NOM big REAL say-FUT what-CAUS-PURPs=o maybe
<translation>	He's the big boss who tells them to do this

<line_148>	ngurnulangula marrarila nhartumarninyji wii .<segmentation>	ngurnula-ngu-la marrari-la nhartu-ma-rninyji wii .
<glossing>	that.DEF-GEN-LOC word-LOC what-CAUS-FUT maybe
<translation>	and do that when he says so .

<line_149>	“ Mir.ta yartapalyu nganamarnu minthalwalwarrilayi . ”
<segmentation>	“ Mir.ta yartapalyu nganamarnu minthalwa-lwarri-layi . ”
<glossing>	not others anyone get.together-COLL-FUT
<translation>	“ Don't anyone get together on one side . We've got to be together . ”

<line_150>	Punilha ngunhaa mankulu yilhiirru ngurnu kayarraa<segmentation>	Puni-lha ngunhaa manku-lu yilhi-i-rru ngurnu kayarra-a
<glossing>	go-PAST that.NOM grab-PURPss chip-ACC-NOW that.ACC two-ACC
<translation>	He went to get some chips from those two

<line_151>	wirratharraa yinkarnuu . Ngunhu wirrawalha , nyinanyila<segmentation>	wirra-tharra-a yinka-rnu-u . Ngunhu wirrawalha , nyina-nyila
<glossing>	boomerang-DU-ACC chisel-PASSP-ACC that.NOM boomerang.maker sit-PrREL
<translation>	boomerangs that had been chiselled out . That boomerang-maker , he was sitting

<line_152>	yartapalyuurru thanilalha , yinkal.yarra , Thaartala , Pilharnula jingkayu .<segmentation>	yartapalyu-u-rru thani-lalha , yinka-l.yarra , Thaarta-la , Pilharnu-la jingkayu .
<glossing>	others-ACC-NOW hit-PAST chisel-CTEMP Thaarta-LOC Pilharnu-LOC upriver
<translation>	hitting another lot , chiselling away at Thaarta Pool , upriver from Pilharnu Pool .

<line_153>	Wanthala ngunhu Yirranti , parlu . Jingkayunpanguru ngulangulwa .<segmentation>	Wanthala ngunhu Yirranti , parlu . Jingkayu-npa-nguru ngulangu-lwa .
<glossing>	somewhere that.NOM Yirranti cliff upriver-INCH-PRES there-YK
<translation>	Where that Yirranti cliff is , the cliff heads upriver right there .

<line_154>	Ngunhaa nyinalharru , yartapalyuurru yinkal.yarra .<segmentation>	Ngunhaa nyina-lha-rru , yartapalyu-u-rru yinka-l.yarra .
<glossing>	that.NOM sit-PAST-NOW others-ACC-NOW chisel-CTEMP
<translation>	He was sitting there now , chiselling another load of boomerangs ,

<line_155>	Kanyjarnuru ngurnutharraalwa wii kayarraa .<segmentation>	Kanyja-rnuru ngurnu-tharra-a-lwa wii kayarra-a .
<glossing>	keep-PRES that.OBL-DU-ACC-YK maybe two-ACC
<translation>	and probably keeping those other two as well .

<line_156>	Ngaa wurtu pala nhiyu , murnangkarru puninguru jingkarni ,<segmentation>	Ngaa wurtu pala nhiyu , murna-ngka-rru puni-nguru jingkarni ,
<glossing>	yes HYPTH IT this.NOM close-LOC-NOW go-PRES upriver.CENT
<translation>	Okay . This one is getting close now , coming from upriver

<line_157>	yilhimarta . Ngurnu kayarraa yinkarnutharraa nyingkurlul<segmentation>	yilhi-marta . Ngurnu kayarra-a yinka-rnu-tharra-a nyingkurlul
<glossing>	chip-PROP that.ACC two-ACC chisel-PASSP-DU-ACC first
<translation>	with the chips , the ones from those two boomerangs that had been chopped first ,

<line_158>	panyutharraa mara . Mankulharru puninguru ngunhaa ngulangu ,<segmentation>	panyu-tharra-a mara . Manku-lha-rru puni-nguru ngunhaa ngulangu ,
<glossing>	good-DU-ACC hand grab-PAST-NOW go-PRES that.NOM there
<translation>	in his hand . He's going now , having picked them up

<line_159>	wanthala ngunhaa yinkalalhala kuwarril .
<segmentation>	wanthala ngunhaa yinka-lalha-la kuwarri-l .
<glossing>	somewhere that.NOM chisel-PAST-LOC beginning-THEN
<translation>	at the place where they were carved in the beginning .

<line_160>	Jingkayu ngula wanthalal ngula .<segmentation>	Jingkayu ngula wanthala-l ngula .
<glossing>	upriver IGNOR somewhere-THEN IGNOR
<translation>	Upriver I guess , somewhere but I don't know where .

<line_161>	Ngurnu yinii ngurnu ngayu ngalarringuru .<segmentation>	Ngurnu yini-i ngurnu ngayu ngalarri-nguru .
<glossing>	that.ACC name-ACC that.ACC 1SG.NOM forget-PRES
<translation>	I've forgotten the name of that place .

<line_162>	Ngunhu julyu warrayi , wayil wii nhuura , Mipirn .<segmentation>	Ngunhu julyu warrayi , wayil wii nhuura , Mipirn .
<glossing>	that.NOM old.man like.me maybe maybe know Mipirn
<translation>	That old man like me might know , Mipirn .

<line_163>	Ngunhaa wiyaa wangkalayi nganaju mulurru paju<segmentation>	Ngunhaa wiyaa wangka-layi nganaju mulurru paju
<glossing>	that.NOM maybe tell-FUT 1SG.ACC straight REAL
<translation>	He should be able to put me straight ,

<line_164>	wanthalaa ngunhaa ngula kuwarri paju nyinalhala .<segmentation>	wanthala-a ngunhaa ngula kuwarri paju nyina-lha-la .
<glossing>	somewhere-ACC that.NOM IGNOR now REAL sit-PAST-LOC
<translation>	wherever it is he is staying now .

<line_165>	Ngunhaa punilha , yilhiirru mankulha nhiyu ngayalyu ,<segmentation>	Ngunhaa puni-lha , yilhi-i-rru manku-lha nhiyu ngayalyu ,
<glossing>	that.NOM go-PAST chip-ACC-NOW grab-PAST this.NOM devil
<translation>	He went having picked up the chips now , this ngayalyu ,

<line_166>	jinkarni . Nhiyu nyinanguru wuraal , kanyara , wirraa yinkal.yarra yartapalyuurru . Thungkaralanyinanguru , marlingkarru<segmentation>	jinkarni . Nhiyu nyina-nguru wuraal , kanyara , wirra-a yinka-l.yarra yartapalyu-u-rru . Thungkara-lanyina-nguru , marli-ngka-rru
<glossing>	upriver.CENT this.NOM sit-PRES well man boomerang-ACC chisel-CTEMP others-ACC-NOW dirt-LOC sit-PRES tree-LOC-NOW
<translation>	from upriver . This man is still sitting carving another lot of boomerangs . He's sitting on the ground , at the base of a cadjeput tree ,

<line_168>	kartawurala , malarnula . Nhawulayi purrkururrungurnaa<segmentation>	kartawura-la , malarnu-la . Nhawu-layi purrkuru-rrungurnaa
<glossing>	butt-LOC shade-LOC see-FUT truly-NOW that.ACC
<translation>	in the shade . He sees this fellow

<line_169>	kanarrinyilaa .
<segmentation>	kanarri-nyila-a .
<glossing>	come-PrREL-ACC
<translation>	coming all right .

<line_170>	“ Ah , nhiyurru palanu nhiyu kuyil , ngayalyu<segmentation>	“ Ah , nhiyu-rru pala-nu nhiyu kuyil , ngayalyu
<glossing>	ah this.NOM-NOW IT-QUOT this.NOM bad cousin
<translation>	“ Ah , this one now . This is that bad ngayalyu 

<line_171>	kanarringururru . ”
<segmentation>	kanarri-nguru-rru . ”
<glossing>	come-PRES-NOW
<translation>	coming . ”

<line_172>	Ngunhaa tharrwilalha thungkaralarru . Wanthala ngunha nyinalha ,<segmentation>	Ngunhaa tharrwi-lalha thungkara-la-rru . Wanthala ngunha nyina-lha ,
<glossing>	that.NOM enter-PAST dirt-LOC-NOW somewhere that.NOM sit-PAST
<translation>	He put them under the sand then . Somewhere there where he was sitting

<line_173>	thungkarala tharrwilalha ngurnutharraa panyutharraa ,<segmentation>	thungkara-la tharrwi-lalha ngurnu-tharra-a panyu-tharra-a ,
<glossing>	dirt-LOC enter-PAST that.OBL-DU-ACC good-DU-ACC
<translation>	on the ground he put those two good

<line_174>	wirratharraa . Nhuura ngurnunu kanyaraa puninyilaawa<segmentation>	wirra-tharra-a . Nhuura ngurnu-nu kanyara-a puni-nyila-a-wa
<glossing>	boomerang-DU-ACC know that.ACC-QUOT man-ACC go-PrREL-ACC-YK
<translation>	boomerangs away . Apparently he knows that man is coming

<line_175>	nhawurra ngurnu wawayil.yarra . Tharrwilalha nharnungkarru .<segmentation>	nhawu-rra ngurnu wawayi-l.yarra . Tharrwi-lalha nharnu-ngka-rru .
<glossing>	see-CTEMP that.ACC look.for-CTEMP put.in-PAST sand-LOC-NOW
<translation>	looking , looking for that . He puts them under the sand

<line_176>	Yartapalyula kanangkal wantiwaa , yinkanngurra ,<segmentation>	Yartapalyu-la kana-ngka-l wanti-waa , yinka-nngu-rra ,
<glossing>	others-LOC clear-LOC-THEN lie-PURPs=o chisel-PASS-CTEMP
<translation>	while another carved lot are lying quite open ,

<line_177>	kankanmayijila . Nhiyu kanarrilayi ,<segmentation>	kankanmayijila . Nhiyu kanarri-layi ,
<glossing>	piled.up this.NOM come-FUT
<translation>	all piled up . This fellow is coming . [ He says ]

<line_178>	“ Ngayu yirru kartungu yirru ngayu kanarrilha .<segmentation>	“ Ngayu yirru kartungu yirru ngayu kanarri-lha .
<glossing>	1SG.NOM HES 2SG.ACC HES 1SG.NOM come-PAST
<translation>	“ I've come , cousin .

<line_179>	Ngayu , ngayalyu yirru , kartungu kanarrilha yirru ?<segmentation>	Ngayu , ngayalyu yirru , kartungu kanarri-lha yirru ?
<glossing>	1SG.NOM cousin HES 2SG.ACC come-PAST HES
<translation>	Can I come over to you ?

<line_180>	Ngayu yirru kanarrilha yirru , ngayalyu yirru ,<segmentation>	Ngayu yirru kanarri-lha yirru , ngayalyu yirru ,
<glossing>	1SG.NOM HES come-PAST HES cousin HES
<translation>	I'll come and

<line_181>	kartungu yirru nhawulu yirru . ”<segmentation>	kartungu yirru nhawu-lu yirru . ”
<glossing>	2SG.ACC HES see-PURPss HES
<translation>	see you , cousin . ”

<line_182>	“ Ngawu , panyu waruulpurtu , ngayalyu yirru .<segmentation>	“ Ngawu , panyu waruul-purtu , ngayalyu yirru .
<glossing>	yes good still-COMP cousin HES
<translation>	“ Yes , that's okay , cousin .

<line_183>	Minthalyu nganaju yirru nyinanyilaa , ngayalyu yirru . ”<segmentation>	Minthal-yu nganaju yirru nyina-nyila-a , ngayalyu yirru . ”
<glossing>	alone-ACC 1SG.ACC HES sit-PrREL-ACC cousin HES
<translation>	Come and see me , I'm sitting here all alone , cousin . ”

<line_184>	“ Ah ! Ngayalyu yirru , nganaju yirru kartu yirru yungkulayi yirru<segmentation>	“ Ah ! Ngayalyu yirru , nganaju yirru kartu yirru yungku-layi yirru
<glossing>	ah cousin HES 1SG.ACC HES 2SG.NOM HES give-FUT HES
<translation>	“ Ah , cousin . You give me

<line_185>	wirraa yirru ngurnutharraalwa yirru ,<segmentation>	wirra-a yirru ngurnu-tharra-a-lwa yirru ,
<glossing>	boomerang-ACC HES that.OBL-DU-ACC-YK HES
<translation>	those two boomerangs ,

<line_186>	kayarraa panyutharraa yirru , ngayalyu yirru . ”
<segmentation>	kayarra-a panyu-tharra-a yirru , ngayalyu yirru . ”
<glossing>	two-ACC good-DU-ACC HES cousin HES
<translation>	those two good ones , cousin . ”

<line_187>	Kanyjarryarra ngunhaa thaapuwa juwayula wurtu yilhii ,<segmentation>	Kanyja-rryarra ngunhaa thaapuwa juwayu-la wurtu yilhi-i ,
<glossing>	keep-PrREL that.NOM big.man hand-LOC HYPTH chip-ACC
<translation>	That crafty old bastard's keeping the chips

<line_188>	ngurnu-tharra-a wirra-tharra-a . Manku-lha ngularla wanthala<segmentation>	ngurnu-tharra-a wirra-tharra-a . Manku-lha ngularla wanthala
<glossing>	that.OBL-DU-ACC boomerang-DU-ACC grab-PAST there.NS somewhere
<translation>	of those two boomerangs in his hand . He picked them up somewhere

<line_189>	yinkarnu kuwarril paju yilu , kanyaralu .
<segmentation>	yinka-rnu kuwarri-l paju yilu , kanyara-lu .
<glossing>	chisel-PASSP beginning-THEN REAL this.EFF man-EFF
<translation>	there where they were first chopped out by that man , in the beginning .

<line_190>	Karrilayi ngunhaa wangkarra ,<segmentation>	Karri-layi ngunhaa wangka-rra ,
<glossing>	stand-FUT that.NOM say-CTEMP
<translation>	He says ,

<line_191>	“ Ngayu yirru wiru yirru yungkungulayi yirru ngurnutharraa yirru
<segmentation>	“ Ngayu yirru wiru yirru yungku-ngu-layi yirru ngurnu-tharra-a yirru
<glossing>	1SG.NOM HES wanting HES give-PASS-FUT HES that.OBL-DU-ACC HES
<translation>	“ I want to be given those two

<line_192>	wirratharraa yirru , ngayalyu yirru , ngurnu yirru ngulangu yirru
<segmentation>	wirra-tharra-a yirru , ngayalyu yirru , ngurnu yirru ngulangu yirru
<glossing>	boomerang-DU-ACC HES cousin HES that.ACC HES there HES
<translation>	boomerangs , cousin , that

<line_193>	yangarnuu yirru , yangarnuu yirru .<segmentation>	yanga-rnu-u yirru , yanga-rnu-u yirru .
<glossing>	chase-PASSP-ACC HES chase-PASSP-ACC HES
<translation>	were chased around over there .

