# language_name_wals:	Wari'
# language_name_glotto:	Wari'
# iso639_3:	pav
# year_composed:	1978
# year_published:	1997
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<'> indicates a glottal stop.
# short_description:	This story is titled "How a man becomes a shaman" and was told by a speaker called Orowao' Tocoin' Jain in 1978.
# source:	 Everett, D. and Kern, B. (1997). Wari', the Pacaas Novos language of Western Brazil. London/New York: Routledge, p. 472-503.
# copyright_short:	© 1997 Daniel L. Everett and Barbara Kern
# copyright_long:	All rights reserved. No part of this book may be reprinted or reproduced or utilized in any form or by any electronic, mechanical, or other means, now known or hereafter invented, including photocopying and recording, or in any information storage or retrieval system, without permission in writing from the publishers.
# sample_type:	whole
# comments:	In the original text in Everett and Kern (1997), for each sentence there is a transcription of Wari' speech into a Latin script, a segmentation into grammatically relevant morphemes (though only for some words where this is needed), a glossing, and a translation into English. These are given here as: <line_x>, <segmentation>, <glossing>, and <translation> respectively. Note that the segmentations are often empty (indicated by underscore <_>), meaning that the word in the Latin script is equivalent to the segmentation.  

<line_1>	Tomi' xin mijac ta , jami mijac .
<glossing>	INFL:frp/p kill 2s this:n 3s:rp/p see completely 
<translation>	whom you killed , thus it is . ' They recognize

<line_115>	nanain jamicocon co wara cono' nana 
<segmentation>	nana-in jami-cocon _ _ _ _
<glossing>	3p:rp/p-3n spirit-3pm INFL:m/frp/p already die:p 3p:rp/p
<translation>	the spirit of those who have already died 

<line_116>	pain jami mijac ma' . Ma' na wari
<segmentation>	_ jami-0 _ _ _ _ _
<glossing>	prep:3n spirit-3n wild:pig that:prox:hearer exist 3s:rp/p person
<translation>	in the spirit of the wild pigs . There are people

<line_117>	co 'arawan nana quem , querec 'aca pe na . 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	INFL:m/frp/p cry:s 3p:rp/p ref see cry:s be:s 3s:rp/p
<translation>	who cry , he sees it and cries ( because of it ) . 

<line_118>	Xo' cono' xi' na wari' . Mam 
<segmentation>	_ _ _ _ _ ma'-m
<glossing>	recently die:p whenever 3s:rp/p person that:prox:hearer-3sf
<translation>	Whenever a person has just died . That one

<line_119>	ma' coxari'
<segmentation>	_ co-xa'-'iri'
<glossing>	that:prox:hearer INFL:m/frp/p-younger:sibling:1s-1pincl
<translation>	is our younger sister

<line_120>	ma' na co xo' mi' pin 
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer 3s:rp/p INFL:m/frp/p recently give completely
<translation>	who recently died ' , 

<line_121>	na , 'awaran ma' nana quem , 'oro ca
<segmentation>	_ _ _ _ _ _ _
<glossing>	3s:rp/p cry:p that:prox:hearer 3p:rp/p ref coll INFL:nrp/p
<translation>	they cry too , all

<line_122>	nari nequequem , 'awaram ma' nanain 
<segmentation>	_ _ _ _ nana-in
<glossing>	be:related poss:3pf cry:p that:prox:hearer 3p:rp/p-3n
<translation>	their relatives , they cry over

<line_123>	mijac ma' quem ca' na . 
<segmentation>	_ _ _ _ _ 
<glossing>	wild:pig that:prox:hearer ref this:n 3s:rp/p
<translation>	the wild pig , thus it is . 

<line_124>	Ca tomi' ha' tamana cocon co
<segmentation>	_ _ _ _ caca-on _
<glossing>	INFL:n/frp/p speak pay:attention much 3pm-3sm INFL:m/frp/p
<translation 	When they obey much the one who

<line_125>	tucuninim' ma' . Cao' cao' pin nanain , 
<segmentation>	_ _ _ _ _ nana-in
<glossing>	shaman that:prox:hearer eat eat completely 3p:rp/p-3n
<translation>	is a shaman . They eat it all up , 

<line_126>	cao' jein ta 'ac ca na . Ta cao' wijimi 
<segmentation>	_ je-in _ _ _ _ _ _ _
<glossing>	eat 2p:rf-3n emph travel 3sm 3s:rp/p INFL:rf eat stubborn
<translation>	` Eat it ' , then he ( says ) . ` Don't refrain from eating all of it

<line_127>	hwein me 'ac ca na . 
<segmentation>	hwe-in _ _ _ _
<glossing>	2p-3n emph travel 3sm 3s:rp/p
<translation>	( lit . don't eat it stubbornly ) ' , the he ( says ) . 

<line_128>	Pain pain pain pin na . Co cao'
<segmentation>	_ _ _ _ _ _ _ 
<glossing>	prep:3n prep:3n prep:3n completely 3s:rp/p INFL:m/frp/p eat
<translation>	A long time passes . He whose children refrain from eating all of it 

<line_129>	wijimi nanain mana panxica , co cao' wixicao'
<segmentation>	_ nana-in _ panxi-ca _ _ _
<glossing>	stubborn 3p:rp/p-3n coll child-3sm INFL:m/frp/p eat throw:p
<translation>	( lit . eat stubbornly ) , they whose

<line_130>	nanain winain mana panxicaca . 
<segmentation>	nana-in wina-in _ panxi-caca
<glossing>	3p:rp/p-3n head-3n coll child-3pm 
<translation>	children eat and throw away its head . 

<line_131>	Tomi' na jami mijac ma' quem . 
<segmentation>	_ _ jami-0 _ _ _ 
<glossing>	speak 3s:rp/p spirit-3n wild:pig that:prox:hearer ref
<translation>	The spirit of the wild pig speaks . 

<line_132>	Ta wixicam hun 'ara ma' me ta , 
<segmentation>	_ _ hwe-on _ _ _ _
<glossing>	INFL:rf go:near 2p-3sm so-and-so that:prox:hearer emph emph
<translation>	` Don't go near so-and-so , 

<line_133>	tama' cao' wijimi mao nain ca wina wa
<segmentation>	_ _ _ _ na-in _ wina-0 _
<glossing>	always eat stubborn go:s 3s:rp/p-3n INFL:nrp/p head-1s inf
<translation>	he always refrained from eating ( lit . ate stubbornly ) heads

<line_134>	pane , jein ni jein ni jein ni 
<segmentation>	_ _ _ _ _ _ _
<glossing>	rem:past run:p separate run:p separate run:p separate
<translation>	long ago ' , the animals run separately ( in another 

<line_135>	na carawa ma' . 
<segmentation>	_ _ _
<glossing>	3s:rp/p animal that:prox:hearer
<translation>	direction ) . 

<line_136>	Jein xumu jein xumu non wari' co
<segmentation>	_ ximi-u _ ximi-u na-on _ _
<glossing>	run:p heart-1s run:p heart-1s 3s:rp/p-3sm person INFL:m/frp/p
<translation>	They run in the direction of the person whose 

<line_137>	cao' 'iri' wari' nanain carawa mana panxica . 
<segmentation>	_ _ _ nana-in _ _ panxi-ca
<glossing>	eat truly person 3p:rp/p-3n animal coll child-3sm
<translation>	children eat the animals like real peole . 

<line_138>	Je ma' ca tomi' tomi' mao caca , 
<segmentation>	_ _ _ _ _ _ _
<glossing>	emph:3n that:prox:hearer INFL:nrp/p speak speak go:s 3pm
<translation>	That is what they say , 

<line_139>	ca tomi' tomi' mao ne caxicon jam nein
<segmentation>	_ _ _ _ _ caji-con _ _ 
<glossing>	INFL:nrp/p speak speak go:s 3n strangeness-3sm spirit poss:3n
<translation>	what the bad spirits of the

<line_140>	mijac ma' . 'Ac caca ma' 
<segmentation>	_ _ _ _ _
<glossing>	wild:pig that:prox:hearer travel 3pm that:prox:hearer
<translation>	wild pigs say . Then they go on , 

<line_141>	'ac caca ma' 'ac caca ma' . 
<segmentation>	_ _ _ _ _ _ 
<glossing>	travel 3pm that:prox:hearer travel 3pm that:prox:hearer
<translation>	Then they go on , then they go on . 

<line_142>	Quep xio quep xio nain 'oro carawa . Caxi xi'
<segmentation>	_ _ _ _ na-in _ _ _ _
<glossing>	do cold do cold 3s:rp/p-3n coll thing sick whenever
<translation>	He heals all sicknesses ( lit. everything ) . Whenever

<line_143>	nana hwanana quem . Caxi na ta , cam paca' 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	3p:rp/p old:people ref sick 3s:rp/p emph little leave
<translation>	old people get sick . ` He is sick , move out of

<line_144>	jun 'ara ma' ta . 
<segmentation>	je-on _ _ _ 
<glossing>	2p:rf-3sm so-and-so that:prox:hearer emph
<translation>	so-and-so's way . '

<line_145>	Nuru 'ac ca na , nuru nuru nuru , quep quep xio quep xio , 
<segmentation>	_ _ _ _ _ _ _ _ _ _ _ _
<glossing>	blow travel 3sm 3s:rp/p blow blow blow do do cold do cold
<translation>	Then he blows , ( he ) blows and blows , ( he ) does ( touches ) and makes well 

<line_146>	cut 'ac cain na mawin quem . 
<segmentation>	_ _ ca-in _ _ _
<glossing>	take:p travel 3sm-3n 3s:rp/p plant:species ref
<translation>	then he takes ( out of the body ) the maxin plant . 

<line_147>	Xirao' 'ac cain na miwirain . 
<segmentation>	_ _ ca-in _ mawira-in
<glossing>	mark travel 3sm-3n 3s:rp/p plant:species-3n
<translation>	Then he marks with its wawin plant .

<line_148>	Cao' ja' 'ac ca towaxinain carawa 
<segmentation>	_ _ _ _ towaxi-nain _ 
<glossing>	eat splash travel 3sm palm:coconut:species-3n animal
<translation>	Then he smears on the towaxi' palm coconut of the animals . 

<line_149>	ma' na . Xio xio 'ac wa
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer 3s:rp/p cold cold travel inf
<translation>	Then getting well

<line_150>	na con . Mo ta tom
<segmentation>	_ _ _ _ _
<glossing>	3s:rp/p prep:3sm conditional INFL:rf burn
<translation>	occurs by him . If they burn catocwan' 

<line_151>	tain' cocon pain catocwan' , pain 'oro ximiton . 
<segmentation>	_ caca-on _ _ _ _ _
<glossing>	smoke 3pm-3sm prep:3n pitch:species prep:3n coll pitch:species
<translation>	pitch and the smoke gets on him , ( or ) ximiton kinds of pitch .

<line_152>	'Om pin toron , noc pin non , 
<segmentation>	_ _ tara-on _ _ na-on
<glossing>	not:exist completely 3s:rf-3sm dislike completely 3s:rp/p-3sm
<translation>	It will cease to exist concerning him , it dislikes him , 

<line_153>	'om ca tucuninim' mami' ca 'Ara xite nonon . 
<segmentation>	_ _ _ _ _ _ _ nana-on
<glossing>	not:exist INFL:nrp/p shaman again 3sm do heavy 3p:rp/p-3sm
<translation>	he isn't a shaman anymore . They are careful with him .

<line_154>	Quep xio 'i capari' ca' nonon . 
<segmentation>	_ _ _ ca-pari' _ nana-on
<glossing>	do cold already:s 3sm-1pincl this:n 3p:rp/p-3sm
<translation>	` He certainly heals us ( incl ) ' , they ( say ) of him . 

<line_155>	Mijac 'ara xi' na ca 'o xut non 
<segmentation>	_ _ _ _ _ _ _ na-on
<glossing>	wild:pig neg dub 3s:rp/p INFL:nrp/p lead walk:s 3s:rp/p-3sm 
<translation>	Because it was the wild pigs that led ( walked ) him away . 

<line_156>	ma' . Mon quequep xec na . 
<segmentation>	_ _ _ _ _
<glossing>	that:prox:hearer delay do:p day 3s:rp/p
<translation>	He keeps on touching ( healing ) . 

<line_157>	Tomi' non jami mijac , ta quep xec xec camain'
<segmentation>	_ na-on jami-0 _ _ _ _ _ _
<glossing>	speak 3s:rp/p-3sm spirit-3n wild:pig INFL:rf do day day at:all
<translation>	The spirit of the wild pig speaks to him , ` Don't do ( heal )

<line_158>	ma me , ta mam pe mam pe mi' maparut pain
<segmentation>	_ _ _ _ _ _ _ _ ma-parut _ 
<glossing>	2s emph INFL:rf instr be:s instr be:s give 2s-1pexcl prep:3n
<translation>	proudly at all , don't hold it out to us ( brag about it )

<line_159>	ma' ta ca' nonon . 
<segmentation>	_ _ _ nana-on
<glossing>	that:prox:hearer emph this:n 3p:rp/p-3sm
<translation>	regarding us ' , thus they ( say ) to him .

<line_160>	'Ac ca ma' 'ac ca ma' , pain
<segmentation>	_ _ _ _ _ _ _
<glossing>	travel 3sm that:prox:hearer travel 3sm that:prox:hearer prep:3n
<translation>	Then he goes on , then he goes on , time

<line_161>	pain pain , caxi mami' 'ac ca na quem .
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	prep:3n prep:3n sick again travel 3sm 3s:rp/p ref
<translation>	passes , then he gets sick again . 

<line_162>	'O xut mami' non quem . Mi' pin mami' 
<segmentation>	_ _ _ na-on _ _ _ _
<glossing>	lead walks again 3s:rp/p-3sm ref give completely again
<translation>	The lead ( walk ) him away again . Then he passes out ( lit . dies )

<line_163>	'ac ca na quem . Mi' pin na co
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	travel 3sm 3s:rp/p ref give completely 3s:rp/p INFL:m/frp/p
<translation>	again . He dies ( passes out ) who

<line_164>	tucuninim' ma' quem , win quep mip pin
<segmentation>	_ _ _ _ _ _ _
<glossing>	shaman that:prox:hearer ref same do force completely
<translation>	is a shaman , then that's when they strongly

<line_165>	'ac con na co tucuninim' ma'
<segmentation>	_ ca-on _ _ _ _
<glossing>	travel 3sm-3sm 3s:rp/p INFL:m/frp/p shaman that:prox:hearer
<translation>	di ( control ) him who is a shaman .

<line_166>	quem . Quep xio tamana 'ac ca na co tucuninim'
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	ref do cold much travel 3sm 3s:rp/p INFL:m/frp/p shaman
<translation>	Then he heals much who is a shaman . 

<line_167>	ma' . Mija na ca quep xio quep xio
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	that:prox:hearer much 3s:rp/p INFL:nrp/p do cold do cold
<translation>	It is much that he heals

<line_168>	cocon 'oro wari' . Quep xio nonon 'oro wari' .
<segmentation>	ca-ocon _ _ _ _ na-ocon _ _
<glossing>	3sm-3pm coll person do cold 3s:rp/p-3pm coll person
<translation>	the people . He heals the people . 

<line_169>	Xain xi' nana 'oro mana panxicaca . Quep ne
<segmentation>	_ _ _ _ _ panxi-caca _ _
<glossing>	hot whenever 3s:rp/p coll coll child-3pm do 2s:1s:rf
<translation>	Whenever their children have fever . ` Do me our child ' , 

<line_170>	con pantiri' cwa' xi' na . Quep quep quep . 
<segmentation>	_ panxi-'iri' _ _ _ _ _ _
<glossing>	prep:3sm child-1pincl this:m/f whenever 3s:rp/p do do do
<translation>	whenever he ( says ) . ( He ) does and does . 

<line_171>	Wan xi' nanam 'oro xucun
<segmentation>	_ _ nana-m _ xije-con
<glossing>	have:sexual:relations whenever 3p-3sf:rp/p coll otherness-3sm
<translation>	Whenever they have sexual relations with her , other

<line_172>	mon tarama' co toco' nanain caxa' ,
<segmentation>	_ _ _ _ nana-in _
<glossing>	coll man INFL:m/frp/p lie:down:p 3p:rp/p-3n bachelor's:bed
<translation>	men who sleep on the bachelor's bed , 

<line_173>	con pije' ma' . Tomi' na . 
<segmentation>	_ _ _ _ _
<glossing>	prep:3sm child that:prox:hearer speak 3s:rp/p
<translation>	regarding the child . He speaks . 

<line_174>	Mo ta pa' ca 'aracon me co
<segmentation>	_ _ _ _ _ _ 
<glossing>	conditional INFL:rf kill 3sm owl INFL:m/frp/p 
<translation>	If he kills an 'aracon me owl who

<line_175>	wan nam , co terem'
<segmentation>	_ na-m _ _
<glossing>	have:sexual:relations 3s:rp/p-3sm INFL:m/frp/p lie:down:s
<translation>	has sexual relations with her , the one who

<line_176>	nain caxa' narima' ma' , 
<segmentation>	na-in _ _ _
<glossing>	3s:rp/p-3n bachelor's:bed woman that:prox:hearer
<translation>	the woman lay in the bachelor's bed . 

<line_177>	Tomi' na co tucuninim' ma' . 
<segmentation>	_ _ _ _ _
<glossing>	speak 3s:rp/p INFL:m/frp/p shaman that:prox:hearer
<translation>	( The one ) who is a shaman speaks . 

<line_178>	Hot nain tapaxicon 'aracon me . 
<segmentation>	_ na-in tapaxi-con _ 
<glossing>	put:out 3s:rp/p-3n feather-3sm owl
<translation>	He pulls an aracon me owls's feather ( out of the children's body ) .

<line_179>	Pa' mon 'aracon me con pantiri' cwa' ra ? 
<segmentation>	_ ma-on _ _ panxi-'iri' _ _
<glossing>	kill 2s:rp/p-3sm owl prep:3sm child-1pincl this:m/f 2s:rf
<translation>	` You killed an 'aracon me owl regarding our ( incl ) child , didn't you ? ' 

<line_180>	'Om ca pa' ton ta , caji ximicam 
<segmentation>	_ _ _ ta'-on _ caji-0 ximi-cam
<glossing>	not:exist INFL:nrp/p kill 1s-3sm emph strangeness-3n heart-3sf
<translation>	` I didn't kill it , ( it's ) the bad heart

<line_181>	jicon ma' ta . 
<segmentation>	ji-con _ _
<glossing>	mother-3sm that:prox:hearer emph
<translation>	of his mother . '

<line_182>	Mana' mana' ac' ca na cote ca
<segmentation>	_ _ _ _ _ co-te _ 
<glossing>	angry angry travel 3sm 3s:rp/p INFL:m/frp/p-father:1s 3sm
<translation>	Then the father of the child gets angry . 

<line_183>	pije' ma' . Caji ximicam jicon , 
<segmentation>	_ _ caji-0 ximi-cam xi-con
<glossing>	child that:prox:hearer strangeness-3n heart-3sf mother-3sm 
<translation>	` ( It's ) his mother's bad heart .

<line_184>	'om ca pa' ton ta . 'Aram 'aram mixita
<segmentation>	_ _ _ _ ta'-on _ _ mixita-0
<glossing>	not:exist INFL:nrp/p kill 1s-3sm emph finally:p finally:p anger-1s
<translation>	I didn't kill it . ' He finally ( says ) , 

<line_185>	ta' na nanain ca caji xumu wa
<segmentation>	_ _ nana-in _ caji-0 ximi-u _
<glossing>	1s:rf 3s:rp/p 3p:rp/p-3n INFL:nrp/p strangeness-3n heart-1s inf
<translation>	` I will fight ' , they ( say ) about bad hearts

<line_186>	pain ma' quem . 'Em' cwa' quem . 
<segmentation>	_ _ _ _ _ _
<glossing>	prep:3n that:prox:hearer ref snake this:m/f ref 
<translation>	regarding that . This snake also . 

<line_187>	Aramaca' xi' nonon 'em' . Quep 'ac ca xi'
<segmentation>	_ _ na-ocon _ _ _ _ _
<glossing>	offend whenever 3s:rp/p-3pm snake do travel 3sm whenever
<translation>	Whenever a snake offends them . Then whenever he heals

<line_188>	na co tucuninim' ma' . 
<segmentation>	_ _ _ _
<glossing>	3s:rp/p INFL:m/frp/p shaman that:prox:hearer
<translation>	( the one ) who is a shaman . 

<line_189>	To' pa' mon 'em' con pantiri' . 
<segmentation>	_ _ ma-on _ _ panxi-'iri'
<glossing>	hit kill 2s:rp/p-3sm snake prep:3sm child-1pincl 
<translation>	` You killed a snake regarding our ( incl ) child . ' 

<line_190>	'Om ca to' pa' ton , caji ximicam
<segmentation>	_ _ _ _ ta'-on caji-0 ximi-cam
<glossing>	not:exist INFL:nrp/p hit kill 1s-3sm strangeness-3n heart-3sf
<translation>	` I didn't kill it , ( it's ) the bad heart of

<line_191>	jicon ta ca nonon . Taxi' nain 'i ca' , 
<segmentation>	ji-con _ _ nana-on _ na-in _ _
<glossing>	mother-3sm emph this:n 3p:rp/p-3sm know 3s:rp/p-3n n this:n
<translation>	his mother , ' thus they ( say ) to him . He knows this , 

<line_192>	ca 'iri' cut cain 'oro carawa jimao . 
<segmentation>	_ _ _ ca-in _ _ _
<glossing>	INFL:nrp/p INFL:rp/p take:p 3sm-3n coll thing different
<translation>	how to take out all kinds of things . 

<line_193>	'Em' , 'aramaca' na 'em' , 'aram hop ca' con
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	snake offend 3s:rp/p snake finally:p alligator this:n prep:3sm
<translation>	A snake , the snake offends , ( or ) perhaps an alligator

<line_194>	quem . Taxi' taxi' ximao pin na co
<segmentation>	_ _ _ _ _ _ _
<glossing>	ref know know for:no:reason completely 3s:rp/p INFL:m/frp/p
<translation>	regarding him . He knows everything ( the one ) who

<line_195>	tucuninim' ma' . 'Ac ca  ma' 'ac 
<segmentation>	_ _ _ _ _ _
<glossing>	shaman that:prox:hearer travel 3sm that:prox:hearer travel
<translation>	is a shaman . Then he goes on , then

<line_196>	ca ma' 'ac ca ma'
<segmentation>	_ _ _ _ _
<glossing>	3sm that:prox:hearer travel 3sm that:prox:hearer
<translation>	he goes on , then he goes on ,

<line_197>	'ac ca ma' , mija na ca cut
<segmentation>	_ _ _ _ _ _ _
<glossing>	travel 3sm that:prox:hearer much 3s:rp/p INFL:nrp/p take:p
<translation>	then he goes on , it is much that he takes out

<line_198>	cain 'oro carawa jimao . 'Om ca taraju xo'
<segmentation>	ca-in _ _ _ _ _ _ _
<glossing>	3sm-3n coll animal different not:exist INFL:nrp/p hear correctly
<translation>	different things . He doesn't hear correctly

<line_199>	camain' cain 'oro carawa jimao , 'oro me cwa' , 
<segmentation>	_ ca-in _ _ _ _ _ _
<glossing>	at:all 3sm-3n coll animal different coll bird this:m/f
<translation>	at all the different kinds of animals , the birds ,

<line_200>	'ac tomi' pa' 'ac tomi' pa' 'ac wari' pin
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	like speak kill like speak kill like person completely
<translation>	it's like he converses ( with them ) , it's like they have become people to him . 

<line_201>	non . Pe pin 'iri non ne . 
<segmentation>	na-on _ _ _ na-on _
<glossing>	3s:rp/p-3sm be:s completely already:p 3s:rp/p-3sm rec:past
<translation>	When he is completely used to them ( when they are completely with him ) . 

<line_202>	'Om ca jin' mami' cain . Pe pin 
<segmentation>	_ _ _ _ ca-in _ _
<glossing>	not:exist INFL:nrp/p fear again 3sm-3n be:at:s' completely
<translation>	He isn't afraid of them anymore . He is completely used to

<line_203>	non . Pa' ta' mijac 
<segmentation>	na-on _ _ _
<glossing>	3s:rp/p-3sm kill 1s:rf wild:pig
<translation>	them ( they are completely with him ) . ` I will kill wild

<line_204>	xi' na xucun wari' con quem . 
<segmentation>	_ _ xije-con _ _ _ 
<glossing>	whenever 3s:rp/p otherness-3sm person prep:3sm ref
<translation>	pigs' , whenever another person ( says ) regarding him . 

<line_205>	Quep xirac 'ac con na mijac wari' 
<segmentation>	_ _ _ ca-on _ _ _
<glossing>	do magical travel 3s-3sm 3s:rp/p wild:pig person 
<translation>	Then the wild pig casts a spell on the person . 

<line_206>	ma' quem . Quereme rain me ta 'ac
<segmentation>	_ _ _ ra-in _ _ _
<glossing>	that:prox:hearer ref courageous 2s:rf-3n emph emph travel
<translation>	` Be courageous regarding it ' , then

<line_207>	con 'iri' co xucun wari' co
<segmentation>	ca-on _ _ xije-con _ _
<glossing>	3sm-3sm INFL:rp/p INFL:m/frp/p otherness-3sm person INFL:m/frp/p 
<translation>	the one who is a shaman ( says ) the other person , 

<line_208>	tucuminim' ma' , xocoricon na' nam . 
<segmentation>	_ _ xocori-con na-m 
<glossing>	shaman that:prox:hearer newness-3sm 3s:rp/p 3s:rp/p-3sf
<translation>	the new one , right ? 

<line_209>	Quereme rain me 'ac con na . 
<segmentation>	_ ra-in _ _ ca-on _
<glossing>	courageous 2s:rf-3n emph travel 3sm-3sm 3s:rp/p
<translation>	` Be courageous regarding it ' , then he ( says ) to him . 

<line_210>	Win win cono' , mi' pin na xocoricon 
<segmentation>	_ _ _ _ _ _ xocori-con
<glossing>	same same die:p give completely 3s:rp/p newness-3sm
<translation>	( They ) pass out ( lit . die ) together , the new one passes 

<line_211>	ma' quem . Mi' na wara tucuninim' 
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer ref give 3s:rp/p already shaman 
<translation>	out ( lit . dies ) also . The old shaman also dies 

<line_212>	ma' quem  ca' na , quep xirac quep xirac
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	that:prox:hearer ref this:n 3s:rp/p do magical do magical 
<translation>	( passes out ) , thus it is , they cast a spell

<line_213>	pi' pin nonon . Mi' pin xi' 
<segmentation>	_ _ na-ocon _ _ _
<glossing>	finish completely 3s:rp/p-3pm give completely whenever
<translation>	on both of them . Whenever he dies , 

<line_214>	na , 'awaran nonon co xo' mi' 
<segmentation>	_ _ nana-on _ _ _ 
<glossing>	3s:rp/p cry:p 3p:rp/p-3sm INFL:m/frp/p recently give 
<translation>	they cry over the one who recently dies . 

<line_215>	ma' . 'Om na ta , 'an 'in 
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer not:exist 3s:rp/p emph take:s return 
<translation>	` No ! He brings back

<line_216>	'an 'in nain tamataracon 
<segmentation>	_ _ na-in tamatara-con 
<glossing>	takers return 3s:rp/p-3n spirit-3sm
<translation>	the spirit of his 

<line_217>	coxa' ca , ca nanari
<segmenation>	co-xa' _ _ _
<glossing>	INFL:m/frp/p-younger:sibling:1s 3sm INFL:nrp/p be:related:p
<translation>	younger brother ' , ( regarding ) when we're ( incl ) related

<line_218>	qui' xijexi' na' nam . 
<segmentation>	_ _ _ na-m
<glossing>	coming:this:way refl:1pincl 3s:rp/p 3s:rp/p-3sf
<translation>	to each other , right ? 

<line_219>	'An 'in 'an 'in non . Quereme rain 
<segmentation>	_ _ _ _ na-on _ ra-in
<glossing>	take:s return take:s return 3s:rp/p-3sm courageous 2s:rf-3n 
<translation>	He brings him back . ` Be courageous regarding it , 

<line_220>	me ta , 'om ca mi' ta' ma ta , 
<segmentation>	_ _ _ _ _ _ _ _ 
<glossing>	emph emph not:exist INFL:nrp/p give 1s:rf 2s emph 
<translation>	you won't die ( you don't ( say ) , " I will die ) " ' , 

<line_221>	'ac ca ma' 'ac ca ma'
<segmentation>	_ _ _ _ _ _
<glossing>	tavel 3sm that:prox:hearer travel 3sm that:prox:hearer
<translation>	then he goes on , then he goes on , 

<line_222>	'ac ca ma' . 'Am xio pin ta' 
<segmentation>	_ _ _ _ _ _ _
<glossing>	travel 3sm that:prox:hearer finally:s cold completely 1s:rf
<translation>	then he goes on . He finally ( says ) , ` I wil get well ' , 

<line_223>	na , quep tiquin' na xucun quem ca' na . 
<segmentation>	_ _ _ _ xije-con _ _ _
<glossing>	3s:rp/p do continue 3s:rp/p otherness-3sm ref this:n 3s:rp/p 
<translation>	and the other one continues healing also , thus it is . 

<line_224>	Mija na , 'om ca taxi' 'e' ma' wa . 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	much 3s:rp/p not:exist INFL:nrp/p know only that:prox:hearer inf
<translation>	It is much , it's not just knowing . 

<line_225>	Mija na ca cono' cono' caca pain mijac 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	much 3s:rp/p INFL:nrp/p die:p die:p 3pm prep:3n wild:pig 
<translation>	It is much that they die ( pass out ) because of the wild pigs 

<line_226>	con caxicon jam co tucuninim' nana
<segmentation>	_ caji-con _ _ _ _
<glossing>	prep:3sm strangeness-3sm spirit INFL:m/frp/p shaman 3p:rp/p 
<translation>	and the bad spirit who are shamans . 

<line_227>	ma' . 'Om ca cut cut nene
<segmentation>	_ _ _ _ _ _
<glossing>	that:prox:hearer not:exist INFL:nrp/p take:p take:p immature 
<translation>	They don't take out immaturely

<line_228>	cacain 'ono 'iri' 'aramaca' ne carawa jimao . 
<segmentation>	caca-in _ _ _ _ _ _
<glossing>	3pm-3n coll INFL:rp/p offend 3n animal different
<translation>	the different things that offend . 

<line_229>	xio xio 'ac wa na coco co tucuninim'
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	cold cold travel inf 3s:rp/p prep:3pm INFL:m/frp/p shaman
<translation>	Then ( there ) is wellness because of those who are shamans .

<line_230>	nana ma' Je 'i ca' pata' 
<segmentation>	_ _ _ _ _ _
<glossing>	3p:rp/p that:prox:hearer emph:3n n this:n prep:1s 
<translation>	That's it by me , 

<line_231>	tacanam' pije' napa' . 
<segmentation>	_ _ na-pa' 
<glossing>	difficult child 3s:rp/p-1s
<translation>	It's a little difficult for me . 



















 







 












