# language_name_wals:	Wari'
# language_name_glotto:	Wari'
# iso639_3:	pav
# year_composed:	1962
# year_published:	1997
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<'> indicates a glottal stop.
# short_description:	This story is titled "Wirin - the origin of corn" and was told by a speaker called Manim in 1962.
# source:	Everett, D. and Kern, B. (1997). Wari', the Pacaas Novos language of Western Brazil. London/New York: Routledge, p. 452-472.
# copyright_short:	© 1997 Daniel L. Everett and Barbara Kern
# copyright_long:	All rights reserved. No part of this book may be reprinted or reproduced or utilized in any form or by any electronic, mechanical, or other means, now known or hereafter invented, including photocopying and recording, or in any information storage or retrieval system, without permission in writing from the publishers.
# sample_type:	whole
# comments:	In the original text in Everett and Kern (1997), for each sentence there is a transcription of Wari' speech into a Latin script, a segmentation into grammatically relevant morphemes (though only for some words where this is needed), a glossing, and a translation into English. These are given here as: <line_x>, <segmentation>, <glossing>, and <translation> respectively. Note that the segmentations are often empty (indicated by underscore <_>), meaning that the word in the Latin script is equivalent to the segmentation.  

<line_1>	Nama' na Wirin nana ta . Tota ta' na .
<glossing>	INFL:m/frp/p-elder:brother:1s 2p emph deny:s now give
<translation>	your older brother . Your older brother will deny

<line_111>	turuhu' pain cwaji' hwe quem . 
<segmentation>	tara-uhu' _ co-'aji' _ _
<glossing>	3s:rf-2p prep:3n INFL:m/frp/p-elder:brother:1s 2p ref
<translation>	it to you . '

<line_112>	Mana' mao cama na narima' nucun ma' . 
<segmentation>	_ _ _ _ _ _ _
<glossing>	angry go:s 3sf 3s:rp/p woman 3sm that:prox:hearer
<translation>	This woman was angry . 

<line_113>	'Aman pe na , 'aman pe tata , 
<segmentation>	_ _ _ _ _ _
<glossing>	stick:with:it be:at:s 3s:rp/p stick:with:it be:at:s pass:3p
<translation>	She stuck with it ( bore down on him ) , they were borne down on , 

<line_114>	'amam pe tata , 'amam pe tata . 
<segmentation>	_ _ _ _ _ -
<glossing>	stick:with:it be:at:s pass:3p stick:with:it be:at:s pass:3p 
<translation>	they were borne down on , they were borne down on . 

<line_115>	Mana' mana' mana' mana' noro 'i xucucun quem ne .
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	angry angry angry angry look already:s refl:3pm ref rec:past
<translation>	( They ) were angry , when they cursed each other . 

<line_116>	Ca cao' tomi' quequem pain mana panxima tara quem .
<segmentation>	_ _ _ caca-em _ _ panxi-ma _ _
<glossing>	INFL:nrp/p eat speak 3pm-2s prep:3n coll child-2s 3s:rf ref
<translation>	` Your children will eat you together with it ( the corn ) . ' 

<line_117>	Ca cao' tomi' tuturuhu' pain mana panxihwe quem . 
<segmentation>	_ _ _ tatara-uhu' _ _ panxi-hwe _
<glossing>	INFL:nrp/p eat speak 3p:rf-2p prep:3n coll child-2p ref
<translation>	` Your children will eat you with it too . 

<line_118>	Xica' cono' xirara-pa' mana panxita' ta , cono' tatara mana
<segmentation>	_ _ xirara-pa' _ panxi_ta' _ _ _ _
<glossing>	alone die:p 3p:irr-1s coll child-1s emph die:p 3p:rf coll
<translation>	Should my children alone to me ? your children will die too . 

<line_119>	panxihwe quem . Cao' tomi' tuturuhu' pain quem , Ca
<segmentation>	panxi-hwe _ _ _ tatara-uhu' _ _ _
<glossing>	child-2p ref eat speak 3p:rf-2p prep:3n ref INFL:nrp/p
<translation>	They will eat you together with it . 

<line_120>	pa pa caracat mi' cucuhu' pain tara quem . Pa 
<segmentation>	_ _ _ _ caca-uhu' _ _ _ _
<glossing>	open open break:p give 3pm-2p prep:3n 3s:rf ref open 
<translation>	They will open and break it regarding you . '

<line_121>	caracat mi' tataram pain mana panxima quem . 
<segmentation>	_ _ tatara-vcvm _ _ panxi-ma _
<glossing>	break:p give 3p:rf-3pf prep:3n coll child-2s ref
<translation>	` They will open and break it regarding your children also . '

<line_122>	'Aman pe xucucun . Tomi' noro tomi' noro pin 
<segmentation>	_ _ _ _ _ _ _ _
<glossing>	stick:with:it be:at:s refl:3pm speak look speak look completely
<translation>	They bore down on each other . They cursed completely 

<line_123>	xucucun . Pin hwe ma' pain . Tota jein
<segmentation>	_ _ _ _ _ tota-0 je-in
<glossing>	refl:3pm leave 2p that:prox:hearer prep:3n garden-1s 2p:rf-3n
<translation>	each other . ` Stop arguing ( lit . Leave it ) . Clear land for

<line_124>	totain me . 'Ane ca wari' mao ta' cacam
<segmentation>	tota-in _ _ _ _ _ _ _
<glossing>	garden-3n emph different INFL:nrp/p person go:s 1s prep:3pf
<translation>	its garden . ( It's ) because I'm a person regarding our children 

<line_125>	mana pantiri' ne . Tota hwara' jein me . Ma
<segmentation>	_ panxi-'iri _ tota-0 _ je-in _ _
<glossing>	coll child-1pincl rec:past garden-1s big:s 2p:rf-3n emph okay
<translation>	( it's the way I am ) . Clear land for a big garden . ' ` Okay . '

<line_126>	Tota xi' , ma nana . Tota tota tota
<segmentation>	tota-0 _ _ _ tota-0 tota-0 tota-0
<glossing>	garden-1s 1pincl:rf okay 3p:rp/p garden-1s garden-1s garden-1s
<translation>	` We will clear land for a garden . ' ` Okay , ' they ( said ) . ( They )

<line_127>	tota tota tota tacaracat tacaracat
<segmentation>	tota-0 tota-0 tota-0 _ _
<glossing>	garden-1s garden-1s garden-1s cut:tree:p cut:tree:p
<translation>	cleared and cleared land for a garden , ( they ) cut down the

<line_128>	tacaracat pi' pin 'i na xitot
<segmentation>	_ _ _ _ _ _
<glossing>	cut:tree:p finish completely already:s 3s:rp/p garden
<translation>	trees and when the garden was completely regarding

<line_129>	ma' cocon ne . Tom xin nana . 
<segmentation>	_ _ _ _ xi'-in _
<glossing>	that:prox:hearer prep:3pm rec:past burn 1pincl:rf-3n 3p:rp/p
<translation>	them . ` We will burn it ' , they ( said )

<line_130>	'Oin xin nana . 'Oin' 'oin' 'oin' 'oin' 'oin'
<segmentation>	_ xi'-in _ _ _ _ _ _
<glossing>	plant 1pincl:rf-3n 3p:rp/p plant plant plant plant plant
<translation>	` We will plant it ' , they ( said ) . ( They ) planted and planted

<line_131>	hoooo xam' , xam' pin na , xam'
<segmentation>	_ _ _ _ _ _
<glossing>	sound:of:motion all:of:it all:of:it completely 3s:rp/p all:of:it
<translation>	all of it , it was all ( planted ) , ` It is ( all )

<line_132>	pin na ta . Ma . Pit xi' ca' jein . 'Ane
<segmentation>	_ _ _ _ _ _ _ je-in _
<glossing>	completely 3s:rp/p emph okay pick small this:n 2p:rf-3n different
<translation>	planted . ` Okay . Take a little bit ( for each hole ) . ( It's )

<line_133>	ca wari' mao ta' cacam mana pantiri' ne . 
<segmentation>	_ _ _ _ _ _ panxi-'iri _
<glossing>	INFL:nrp/p person go:s1s prep:3pf coll child-1pincl rec:past
<translation>	because I am a person regarding our children ( it's the way I am ) . '

<line_134>	Ma . Maji cao' xi' tocwe , ma nana . 
<segmentation>	_ _ _ _ _ _ _
<glossing>	okay let's:go eat 1pincl:rf Brazil:nut okay 3p:rp/p
<translation>	` Okay . ' ` Let's go eat Brazil nuts ' , ` Okay , ' they ( said ) . 

<line_135>	Ma' je na nahwarac , to nana . Cao'
<segmentation>	_ _ _ _ _ _ _
<glossing>	that:prox:hearer emph:3n 3s:rp/p jungle be:at:p 3p:rp/p eat
<translation>	There was the jungle there , they were ( stayed there ) . 

<line_136>	cao' cao' cao' ca' nanain tocwe . Mo querec ta' 
<segmentation>	_ _ _ _ nana-in _ _ _ _
<glossing>	eat eat eat this:n 3p:rp/p-3n Brazil:nut run:s see 1s:rf
<translation>	They ate and ate Brazil nuts for a while . ` I will run and see ' , 

<line_137>	'e' na wari' ma' . Xut xut xut
<segmentation>	_ _ _ _ _ _ _
<glossing>	emph 3s:rp/p person that:prox:hearer walk:s walk:s walk:s
<translation>	( said ) the person . He walked and walked

<line_138>	xut hwet nain . 'An warawa pin na 
<segmentation>	_ _ na-in _ _ _ _
<glossing>	walk:s approach 3s:rp/p-3n takers hang:p completely 3s:rp/p
<translation>	and approached it . ` I guess the corn is hanging ! '

<line_139>	mapac ta'a . ` Iri'o ' ` iri'o ' ta . Mon to wet ca'
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	corn emph really really emph delay be:at:p still this:n 
<translation>	` Really ? ' ` Really ! ' They stayed away from it

<line_140>	nanain quem . Mon to wet ca' nanain quem , 
<segmentation>	nana-in _ _ _ _ _ nana-in _
<glossing>	3p:rp/p-3n ref delay be:at:p still this:n 3p:rp/p-3n ref
<translation>	for a while . They stayed away from it for a while . 

<line_141>	Mon to wet ca' nanain quem . Wa horoho
<segmentation>	_ _ _ _ nana-in _ _ _
<glossing>	delay be:at:p still this:n 3p:rp/p-3n ref hang:s float:p 
<translation>	They stayed away from it for a while . When it was hanging and 

<line_142>	pin 'i na cocon ne . Mo querec
<segmentation>	_ _ _ _ _ _ _
<glossing>	completely already:s 3s:rp/p prep:3pm rec:past run:s see
<translation>	floating ( was light ) completely regarding them . ` I will run and 

<line_143>	ta' nain . 'Um' caji querec nain , tucu
<segmentation>	_ na-in _ _ _ na-in toco-u
<glossing>	1s:rf 3s:rp/p-3n pinch strangeness-3n see 3s:rp/p-3n eye-1s
<translation>	look , ' he ( said ) regarding it . He pinched it and took a peek . 

<line_144>	pin na ta'a . Wa' qui' na . 
<segmentation>	_ _ _ _ _ _
<glossing>	completely 3s:rp/p emph arrive:s coming:this:way 3s:rp/p
<translation>	` I guess it has grains ! ' He arrived coming this way . 

<line_145>	Tucu pin na mapac ta'a . Howa . 'Iri' ca
<segmentation>	toco-u _ _ _ _ _ _ _
<glossing>	eye-1s completely 3s:rp/p corn emph okay truly INFL:nrp/p 
<tranlation>	` I guess the corn has grains ! ' ` Okay . ' When it was really

<line_146>	'awori na pin 'i na cocon ne . 
<segmentation>	_ _ _ _ _ _ _
<glossing>	ready 3s:rp/p completely already:s 3s:rp/p prep:3pm rec:past
<translation>	ready completely regarding them . 

<line_147>	Paca' pin 'i na ximijain cocon ne . 
<segmentation>	_ _ _ _ ximija-in _ _ 
<glossing>	red complete already:s 3s:rp/p middle-3n prep:3pm rec:past
<translation>	When it was completely ripe in the middle of ( the garden ) regarding them . 

<line_148>	Maji querec xi' , ma nanain . 'Awori pin na 
<segmentation>	_ _ _ _ nana-in _ _ _
<glossing>	let's:go:see 1pincl okay 3p:rp/p-3n ready completely 3s:rp/p
<translation>	` Let's go see . ' ` Okay ' , they ( said ) about it . The corn is

<line_149>	mapac ta . Paca' pin na ta . Howa . Ta' ta' 'ari
<segmentation>	_ _ _ _ _ _ _ _ _ _
<glossing>	corn emph red completely 3s:rp/p emph okay split split all
<translation>	ready ! It is ripe ! ` Okay . ' They broke ( split )

<line_150>	nanain tocwe ca' , maji ta nana . Tan'
<segmentation>	nana-in _ _ _ _ _ _
<glossing>	3p:rp/p-3n Brazil:nut this:n let's:go emph 3p:rp/p arrive:p
<translation>	Brazil nuts , ` Let's go ' , they ( said ) . They arrived

<line_151>	mama' nana . 'Ep toc mao cacamain na . 'Ep toc
<segmentation>	_ _ _ _ _ cacama-in _ _ _
<glossing>	go:p 3p:rp/p grind drink go:s 3pf-3n 3s:rp/p grind drink
<translation>	going that way . Then they ground and drank it ( corn ) . They ground

<line_152>	'ep toc 'ep toc 'ep toc 'awori xam' pin 
<segmentation>	_ _ _ _ _ _ _ _ _
<glossing>	grind drink grind drink grind drink ready all:of:it completely 
<translation>	and drank and ground and drank and when the edge ( of the garden )

<line_153>	'i na tapaxi con ne . 'Awori xam'
<segmentation>	_ _ tapaxi-0 _ _ _ _
<glossing>	already:s 3s:rp/p wing-3n prep:3sm rec:past ready all:of:it
<translation>	was all completely ready regarding thim . When it was all 

<line_154>	pin 'i na ne , hao xam'
<segmentation>	_ _ _ _ _ _
<glossing>	completely already:s 3s:rp/p rec:past extensive all:of:it
<translation>	completely ready , it was extensively all of it completely done . 

<line_155>	pin na . 'Am cono' pin ta' na . 
<segmentation>	_ _ _ _ _ _ _
<glossing>	completely 3s:rp/p finally die:p completely 1s:rf 3s:rp/p
<translation>	Finally it ( said ) , ` I will dry up ' , it ( said ) . 

<line_156>	'Am top xin nana . Top 
<segmentation>	_ _ xi'-in _ _ 
<glossing>	finally harvest:corn 1pincl:rf-3n 3p:rp/p harvest:corn
<translation>	Finally they ( said ) , ` We will harvest it . ' ( They ) harvested

<line_157>	top top top top hoooopat . 
<segmentation>	_ _ _ _ _
<glossing>	harvest:corn harvest:corn harvest:corn harvest:corn all:of:it 
<translation>	and harvested and harvested all of it . 

<line_158>	Xi' xin nana . Xi' xi xi' . Je
<segmentation>	_ xi'-in _ _ _ _ _
<glossing>	stack:up 1pincl:rf-3n 3p:rp/p stack:up stack:up stack:up emph:3n 
<translation>	` We will stack it up ' , they ( said ) . ( They ) stacked and stacked . 

<line_159>	ma' . Macori macori macori , ma' 
<segmentation>	_ macori-0 macori-0 macori-0 _
<glossing>	that:prox:hearer vine-3n vine-3n vine-3n that:prox:hearer
<translation>	That's it ' Its vine its vine ( he wound vine around the frame of the house ) , 

<line_160>	je na xirim pain cain , xat na 
<segmentation>	_ _ _ _ _ _ _
<glossing>	emph:3n 3s:rp/p house prep:3n that:n:distal stand:s 3s:rp/p
<translation>	there was the house there , it stood regarding

<line_161>	cocon . 'Ep toc mao cacamain na . Mon cacacao' 
<segmentation>	_ _ _ _ cacama-in _ _ _
<glossing>	prep:3pm grind drink go:s 3pf-3n 3s:rp/p delay eat:p 
<translation>	them . Then they ground and drank it . Then they ate it for a

<line_162>	mao cacamain na . Na mapac con Wirin nana
<segmentation>	_ cacama-in _ _ _ _ _ _
<glossing>	go:s 3pm-3n 3s:rp/p 3s:rp/p corn prep:3sm m:name 3p:rp/p
<translation>	long time . ' . . . Is ( the story of ) corn with Wirin ' , they ( said )

<line_163>	pane ta . Je ma' , 
<segmentation>	_ _ _ _
<glossing>	rem:past emph emph:3n that:prox:hearer
<translation>	long ago . That's it . 
 




























